Repeats: 200
Samples: 500
Max_exp Bits: 26
134217	968.5	271456
268434	729.5	514496
402651	797.5	770272
536868	794.5	1023072
671085	795.5	1278080
805302	818.5	1533056
939519	812.5	1788064
1073736	802	1960160
1207953	811.5	2204768
1342170	821	2449376
1476387	837	2694080
1610604	872	2938688
1744821	868	3183360
1879038	850.5	3427968
2013255	840.5	3672608
2147472	846	3907488
2281689	867.5	4151520
2415906	861.5	4395552
2550123	861.5	4639584
2684340	893	4883616
2818557	872.5	5127648
2952774	877.5	5371680
3086991	887	5615712
3221208	881.5	5859744
3355425	877.5	6103776
3489642	917	6347840
3623859	887.5	6591840
3758076	884	6835840
3892293	915	7079904
4026510	880.5	7323936
4160727	907	7567936
4294944	898	7893312
4429161	910	8139936
4563378	902.5	8386496
4697595	907.5	8633056
4831812	905.5	8879648
4966029	926.5	9126208
5100246	911.5	9372800
5234463	969.5	9619328
5368680	888	9865920
5502897	949.5	10112512
5637114	892.5	10359040
5771331	912.5	10605664
5905548	904	10852224
6039765	911	11098784
6173982	899	11345344
6308199	907.5	11591936
6442416	913	11838528
6576633	912	12085056
6710850	913.5	12331648
6845067	900.5	12578240
6979284	915.5	12824768
7113501	917.5	13071360
7247718	909.5	13317952
7381935	909	13564512
7516152	918	13811072
7650369	910	14057664
7784586	902	14304256
7918803	907.5	14550816
8053020	915	14797344
8187237	915.5	15043968
8321454	901	15290528
8455671	933.5	15505024
8589888	913	15751104
8724105	924	15997216
8858322	930	16243296
8992539	916.5	16489312
9126756	916	16735424
9260973	919	16981472
9395190	922	17227520
9529407	925.5	17473568
9663624	940	17719680
9797841	931	17965696
9932058	931.5	18211776
10066275	983.5	18457856
10200492	936.5	18703936
10334709	939	18949952
10468926	937	19196032
10603143	939.5	19442112
10737360	950	19688160
10871577	932.5	19934208
11005794	954	20180320
11140011	960.5	20426368
11274228	953	20672416
11408445	938	20918464
11542662	950	21164576
11676879	959.5	21410624
11811096	950.5	21656672
11945313	937.5	21902752
12079530	937.5	22148832
12213747	948.5	22394848
12347964	939	22640928
12482181	936	22887008
12616398	960.5	23133056
12750615	990	23379104
12884832	946.5	23625184
13019049	941.5	23871296
13153266	1256.5	24117312
13287483	978.5	24363392
13421700	958.5	24609472
13555917	949	24855520
13690134	951.5	25101568
13824351	959	25347648
13958568	959	25593696
14092785	952	25839776
14227002	978.5	26085824
14361219	976	26331936
14495436	972	26577952
14629653	985.5	26824032
14763870	967.5	27070080
14898087	984	27316192
15032304	986.5	27562208
15166521	985	27808288
15300738	947	28054368
15434955	968.5	28300416
15569172	1016.5	28546464
15703389	942.5	28792544
15837606	965.5	29038624
15971823	954	29284672
16106040	951.5	29530720
16240257	941.5	29776832
16374474	948.5	30022848
16508691	943	30268928
16642908	956.5	30514976
16777125	921	30761056
16911342	997.5	29977280
17045559	957.5	30215168
17179776	998	30453056
17313993	958	30690944
17448210	984.5	30928832
17582427	956	31166720
17716644	961	31404640
17850861	959	31642528
17985078	969	31880416
18119295	962	32118272
18253512	958	32356192
18387729	1040.5	32594080
18521946	967	32831968
18656163	971	33069888
18790380	961	33307744
18924597	974.5	33545632
19058814	964	33783520
19193031	975	34021440
19327248	968.5	34259328
19461465	971.5	34497216
19595682	976	34735104
19729899	1204	34972960
19864116	971.5	35210880
19998333	980.5	35448768
20132550	965.5	35686688
20266767	976.5	35924544
20400984	976.5	36162432
20535201	976.5	36400352
20669418	981	36638272
20803635	965	36876096
20937852	972.5	37113984
21072069	984.5	37351904
21206286	1005.5	37589760
21340503	1014	37827680
21474720	1008.5	38065568
21608937	1011.5	38303488
21743154	1005.5	38541344
21877371	995	38779232
22011588	999	39017152
22145805	994.5	39255040
22280022	984	39492896
